Distribuzione;M_Tabelle;N_Utenti;p;Runs;Throughput;Wait_Time;Avg_Util_%;Max_Util_%;Max_Queue
Uniform;20;3500;0,3;5;174,82;0,2998;82,02;82,58;32,0
Uniform;20;4000;0,3;5;199,8;0,6164;92,26;92,83;63,0
Uniform;20;5000;0,3;5;219,77;526,7274;100,0;100,0;15784,0
Uniform;20;100;0,5;5;4,99;0,101;2,49;2,56;2,0
Uniform;20;500;0,5;5;24,98;0,1052;12,29;12,49;4,0
Uniform;20;1000;0,5;5;49,91;0,1117;24,14;24,43;5,0
Uniform;20;1200;0,5;5;59,88;0,1148;28,75;29,04;6,0
Uniform;20;1500;0,5;5;74,85;0,1201;35,51;35,83;8,0
Uniform;20;1600;0,5;5;79,85;0,1221;37,73;38,09;7,0
Uniform;20;2000;0,5;5;99,81;0,1313;46,38;46,79;9,0
Uniform;20;2500;0,5;5;124,81;0,1467;56,65;57,1;11,0
Uniform;20;3000;0,5;5;149,79;0,169;66,25;66,67;15,0
Uniform;20;3500;0,5;5;174,82;0,2043;75,1;75,54;22,0
Uniform;20;4000;0,5;5;199,81;0,2664;83,11;83,54;31,0
Uniform;20;5000;0,5;5;249,86;0,9609;96,39;96,73;117,0
Uniform;20;100;0,8;5;4,99;0,1005;2,47;2,55;2,0
Uniform;20;500;0,8;5;24,98;0,1024;12,0;12,18;4,0
Uniform;20;1000;0,8;5;49,91;0,1052;23,02;23,31;5,0
Uniform;20;1200;0,8;5;59,88;0,1065;27,16;27,43;6,0
Uniform;20;1500;0,8;5;74,85;0,1085;33,1;33,39;6,0
Uniform;20;1600;0,8;5;79,85;0,1093;35,01;35,31;7,0
Uniform;20;2000;0,8;5;99,81;0,1124;42,28;42,64;7,0
Uniform;20;2500;0,8;5;124,82;0,1169;50,56;50,94;10,0
Uniform;20;3000;0,8;5;149,79;0,1221;57,97;58,33;11,0
Uniform;20;3500;0,8;5;174,82;0,1283;64,55;64,9;13,0
Uniform;20;4000;0,8;5;199,81;0,1355;70,32;70,65;16,0
Uniform;20;5000;0,8;5;249,88;0,1541;79,73;80,01;21,0
